popround,acouround,danceround,loudround,temporound,key
67.667,0.033,0.864,-8.401,90.157,0
66,0.404,0.711,-6.81,108.02,11
51,0.232,0.685,-8.679,90.42,7
25.111,0.218,0.632,-8.077,111.301,2
39,0.198,0.885,-6.663,95.402,6
66.64,0.253,0.73,-7.011,118.734,5
27.5,0.132,0.695,-7.848,125.916,2
53.423,0.026,0.403,-4.428,144.221,0
29,0.015,0.499,-7.903,111.949,2
54,0.947,0.549,-7.778,119.58,0
41.905,0.025,0.513,-9.318,145.65,2
33,0.013,0.444,-7.775,100.811,2
59.125,0.626,0.47,-8.297,119.454,2
48,0.03,0.683,-9.034,119.504,2
37,0.854,0.507,-11.857,97.231,7
3,0.955,0.717,-15.267,84.079,3
62.667,0.834,0.793,-12.981,124.991,0
47,0.754,0.542,-7.491,112.789,2
49.475,0.109,0.52,-9.763,124.477,6
0,0.597,0.303,-11.037,178.465,0
66.333,0.136,0.676,-8.663,101.286,2
59.333,0.203,0.391,-4.385,152.982,7
45,0.001,0.253,-3.423,123.785,10
48,0,0.555,-6.063,143.005,8
45.75,0.326,0.755,-9.282,126.933,2
62,0.018,0.491,-5.951,132.267,7
63.75,0.314,0.676,-6.032,128.456,9
0.333,0.953,0.489,-14.825,81.774,7
1,0.915,0.261,-10.377,111.529,3
46.066,0.17,0.828,-9.83,97.877,11
52,0.023,0.658,-5.408,133.442,3
46,0.767,0.08,-21.007,82.14,11
59,0.089,0.9,-5.516,140.023,0
61.559,0.116,0.746,-5.34,137.25,1
59.222,0.244,0.781,-5.917,129.438,8
55,0.143,0.79,-5.098,121.67,11
63.396,0.194,0.671,-6.872,128.927,1
55.25,0.253,0.73,-6.696,135.786,0
45.333,0.043,0.717,-5.706,124.997,4
59,0.583,0.399,-5.801,133.175,8
0,0.021,0.511,-4.042,150.009,3
52,0.29,0.542,-11.702,123.971,10
56.6,0.009,0.705,-3.682,131.185,1
24,0.426,0.589,-13.483,130.272,0
12.571,0.969,0.608,-10.921,122.076,10
0,0.995,0.357,-14.339,111.982,7
4.818,0.9,0.542,-10.324,131.584,6
0,0.962,0.366,-14.905,145.377,0
0,0.924,0.508,-14.508,111.486,4
0,0.881,0.544,-7.355,107.55,2
31,0.182,0.809,-10.875,112.688,8
0,0.976,0.62,-10.131,115.714,2
0,0.958,0.685,-9.765,114.623,7
0,0.992,0.624,-11.384,142.568,8
0,0.993,0.564,-13.142,105.9,11
51.4,0.103,0.745,-4.814,115.044,7
50.714,0.357,0.769,-5.377,135.08,11
9,0.983,0.118,-22.774,169.421,4
64,0.494,0.734,-8.192,190.011,1
46.5,0.062,0.781,-7.999,92.182,9
14,0.061,0.411,-4.625,110.205,0
2,0.914,0.622,-11.489,111.896,3
29,0.119,0.581,-10.862,117.035,9
56.125,0.336,0.652,-11.055,122.088,2
33,0.412,0.798,-8.625,83.971,4
1,0.001,0.592,-8.472,137.016,6
64,0.464,0.968,-8.084,119.953,7
87,0.167,0.743,-5.921,121.296,8
43.254,0.346,0.575,-8.493,121.576,2
42.444,0.231,0.687,-7.476,122.386,9
62,0.079,0.656,-4.223,95.974,5
42,0.16,0.757,-6.952,137.143,4
52,0.038,0.651,-5.288,146.07,5
51.401,0.027,0.476,-4.819,128.039,9
62,0,0.73,-8.085,119.997,1
42.222,0.007,0.39,-5.111,127.026,4
67,0.941,0.525,-14.938,122.214,11
58,0.262,0.606,-2.114,129.965,7
51,0.839,0.529,-9.333,111.131,10
62,0.431,0.75,-9.576,90.998,0
72.375,0.382,0.604,-5.99,111.603,5
61.6,0.515,0.68,-6.321,113.788,7
48.444,0.231,0.524,-6.656,105.01,0
57.644,0.172,0.605,-5.571,114.038,7
47,0.54,0.771,-4.608,139.991,5
54,0.282,0.797,-12.625,139.988,7
64,0.099,0.578,-2.132,133.964,5
65,0.011,0.699,-5.704,102.023,11
58,0.271,0.922,-4.652,104.979,1
57,0.362,0.815,-9.28,87.983,0
36.333,0.011,0.83,-11.564,101.981,7
0.021,0.974,0.488,-10.933,112.699,11
56,0.43,0.758,-2.502,119.992,5
33,0.058,0.601,-8.006,136.421,10
40.438,0.483,0.498,-12.066,121.104,2
0,0.01,0.772,-9.749,128.383,11
57,0.027,0.438,-4.158,127.991,0
57,0.001,0.417,-4.072,156.354,4
58,0.103,0.68,-6.192,131.479,10
68,0.05,0.572,-1.949,129.979,4
79,0.294,0.904,-17.54,117.994,5
36,0.04,0.797,-9.228,123.686,2
73,0.359,0.409,-7.731,89.968,9
61.6,0.717,0.431,-11.033,122.563,11
62,0.035,0.549,-6.515,180.043,3
58,0.137,0.72,-5.212,140.027,5
30,0.003,0.494,-5.188,191.967,4
55.353,0.257,0.628,-7.504,135.251,1
44.789,0.18,0.727,-7.812,97.835,9
51,0.05,0.665,-4.804,98.811,2
0,0.935,0.43,-11.102,135.713,6
43.667,0.172,0.678,-8.015,124.311,9
40,0.375,0.558,-10.637,134.339,4
46,0.027,0.866,-4.302,113.53,1
7.56,0.955,0.35,-19.231,106.761,7
58,0.896,0.786,-11.429,99.978,0
39.25,0.039,0.709,-7.81,126.084,11
44,0.113,0.785,-10.278,110.013,8
67,0.758,0.325,-11.595,81.869,6
41.6,0.364,0.648,-11.377,103.296,7
62,0.993,0.413,-27.843,94.446,7
53.857,0.255,0.583,-5.857,126.992,6
44.667,0.687,0.525,-10.222,128.773,7
0,0.002,0.807,-6.216,126.005,1
65,0.206,0.774,-8.202,141.092,10
43.571,0.45,0.55,-11.955,124.217,2
60,0.334,0.352,-7.412,88.855,10
51,0.023,0.502,-4.918,113.99,2
77,0.073,0.736,-8.159,119.94,10
41.545,0.2,0.652,-8.831,113.972,6
46.5,0.672,0.513,-7.487,122.951,2
50.25,0.083,0.654,-7.055,138.971,4
55.833,0.228,0.64,-5.307,131.427,7
50,0.995,0.445,-25.606,58.875,0
0,0.942,0.331,-14.082,141.928,6
0,0.974,0.357,-12.699,97.724,3
51.526,0.196,0.646,-6.501,110.81,10
44,0.001,0.313,-4.51,138.721,5
