popularity,acousticness,danceability,loudness,tempo,key,,,popround,acouround,danceround,loudround,temporound,key
67.01123596,0.13172491,0.781764045,-7.367921348,125.4378202,1,,,67.011,0.132,0.782,-7.368,125.438,1
16,0.948,0.789,-9.337,139.616,8,,,16,0.948,0.789,-9.337,139.616,8
0,4.58E-05,0.834,-14.531,139.997,7,,,0,0,0.834,-14.531,139.997,7
70,0.281,0.83,-6.892,143.892,11,,,70,0.281,0.83,-6.892,143.892,11
44,0.206,0.814,-6.928,126.976,7,,,44,0.206,0.814,-6.928,126.976,7
66.5,0.0598,0.5405,-5.4345,117.9925,1,,,66.5,0.06,0.541,-5.435,117.993,1
74.26315789,0.144525263,0.742947368,-5.020052632,120.7606316,0,,,74.263,0.145,0.743,-5.02,120.761,0
68,0.428,0.514,-7.281,76.393,2,,,68,0.428,0.514,-7.281,76.393,2
0,0.0158,0.591,-7.483,147.957,1,,,0,0.016,0.591,-7.483,147.957,1
59,0.603,0.5865,-8.705,122.251,2,,,59,0.603,0.587,-8.705,122.251,2
69.5,0.2912,0.6225,-9.2685,103.163,11,,,69.5,0.291,0.623,-9.269,103.163,11
58.66666667,0.085223333,0.688,-3.418333333,128.237,4,,,58.667,0.085,0.688,-3.418,128.237,4
48,0.176,0.615,-4.457,131.989,3,,,48,0.176,0.615,-4.457,131.989,3
49.125,0.133566868,0.773393382,-7.133066176,107.8097904,1,,,49.125,0.134,0.773,-7.133,107.81,1
42,0.0938,0.893,-7.514,94.307,1,,,42,0.094,0.893,-7.514,94.307,1
75,0.1,0.14,-10.145,185.121,1,,,75,0.1,0.14,-10.145,185.121,1
28.5,0.6055,0.433,-11.4885,89.173,1,,,28.5,0.606,0.433,-11.489,89.173,1
0,0.0013,0.516,-8.204,130.069,1,,,0,0.001,0.516,-8.204,130.069,1
35.14285714,0.046651429,0.907142857,-11.43957143,102.7008571,6,,,35.143,0.047,0.907,-11.44,102.701,6
41,0.5895,0.5515,-7.9145,103.9895,2,,,41,0.59,0.552,-7.915,103.99,2
16,0.0757,0.764,-10.295,96.114,1,,,16,0.076,0.764,-10.295,96.114,1
50.01960784,0.040607529,0.505862745,-5.749568627,130.7540588,7,,,50.02,0.041,0.506,-5.75,130.754,7
46,6.40E-05,0.367,-3.186,97,9,,,46,0,0.367,-3.186,97,9
0,0.479,0.599,-8.552,121.11,6,,,0,0.479,0.599,-8.552,121.11,6
40.45283019,0.020677875,0.615735849,-7.346490566,134.8383208,9,,,40.453,0.021,0.616,-7.346,134.838,9
77,0.671,0.98,-11.052,119.993,8,,,77,0.671,0.98,-11.052,119.993,8
54,0.113,0.772,-7.983,119.962,8,,,54,0.113,0.772,-7.983,119.962,8
53,0.00119,0.585,-4.843,160.079,0,,,53,0.001,0.585,-4.843,160.079,0
32.79487179,0.029172821,0.529076923,-11.3754359,126.7031282,0,,,32.795,0.029,0.529,-11.375,126.703,0
55,0.1492,0.7285,-4.36,131.919,1,,,55,0.149,0.729,-4.36,131.919,1
52,0.183,0.496,-3.648,127.961,1,,,52,0.183,0.496,-3.648,127.961,1
49.4,0.0558,0.7178,-5.9238,129.6848,6,,,49.4,0.056,0.718,-5.924,129.685,6
53.95,0.020766,0.68375,-3.92975,125.77265,5,,,53.95,0.021,0.684,-3.93,125.773,5
45.33333333,0.349666667,0.669666667,-11.056,113.091,10,,,45.333,0.35,0.67,-11.056,113.091,10
46,0.0165,0.719,-4.169,95.19,10,,,46,0.017,0.719,-4.169,95.19,10
28.33333333,0.159066667,0.850333333,-13.846,105.8423333,4,,,28.333,0.159,0.85,-13.846,105.842,4
38,0.0075,0.444,-4.962,99.655,2,,,38,0.008,0.444,-4.962,99.655,2
59.5,0.02194,0.515,-2.603,178.48,7,,,59.5,0.022,0.515,-2.603,178.48,7
48.33333333,0.18415,0.528666667,-10.1005,117.8765,7,,,48.333,0.184,0.529,-10.101,117.877,7
37,0.749,0.363,-8.608,76.099,11,,,37,0.749,0.363,-8.608,76.099,11
33.5,0.0104,0.2655,-4.733,154.4345,11,,,33.5,0.01,0.266,-4.733,154.435,11
57,0.00212,0.617,-6.983,138.001,3,,,57,0.002,0.617,-6.983,138.001,3
52,0.0102,0.76,-7.307,91.179,3,,,52,0.01,0.76,-7.307,91.179,3
69.22222222,0.196977778,0.846888889,-6.050555556,126.2526667,1,,,69.222,0.197,0.847,-6.051,126.253,1
4,0.885,0.314,-11.237,165.023,7,,,4,0.885,0.314,-11.237,165.023,7
30.5,0.016083825,0.4175,-8.59175,155.6615,9,,,30.5,0.016,0.418,-8.592,155.662,9
0,0.784,0.628,-18.878,130.486,0,,,0,0.784,0.628,-18.878,130.486,0
33.66666667,0.282333333,0.476333333,-10.05633333,111.2396667,4,,,33.667,0.282,0.476,-10.056,111.24,4
61,0.00589,0.54,-2.646,176.023,7,,,61,0.006,0.54,-2.646,176.023,7
61.01538462,0.043567354,0.547307692,-4.599892308,141.8839231,0,,,61.015,0.044,0.547,-4.6,141.884,0
52.34269663,0.122386348,0.695039326,-4.149426966,105.929427,1,,,52.343,0.122,0.695,-4.149,105.929,1
25.66666667,0.791833333,0.496166667,-12.67116667,117.9436667,7,,,25.667,0.792,0.496,-12.671,117.944,7
47.5,0.01643,0.809,-8.81,125.0315,11,,,47.5,0.016,0.809,-8.81,125.032,11
57,0.996,0,-47.19,0,1,,,57,0.996,0,-47.19,0,1
42,0.2275,0.6625,-11.6815,126.4555,9,,,42,0.228,0.663,-11.682,126.456,9
36,0.158,0.842,-8.227,78.001,4,,,36,0.158,0.842,-8.227,78.001,4
66,0.224,0.748,-4.704,137.033,6,,,66,0.224,0.748,-4.704,137.033,6
